roll,reason
1202223010002,not_found
1202223010004,not_found
1202223010039,not_found
1202223010042,not_found
1202223010068,not_found
1202223010093,not_found
1202223010094,not_found
1202223010098,not_found
1202223010103,not_found
1202223010108,not_found
1202223010111,not_found
1202223010145,not_found
1202223010173,not_found
1202223010174,not_found
1202223010176,not_found
1202223010195,not_found
1202223010215,not_found
1202223010217,not_found
1202223010232,not_found
1202223010254,not_found
1202223010255,not_found
1202223010260,not_found
1202223010277,not_found
1202223010282,not_found
1202223010284,not_found
1202223010303,not_found
1202223010304,not_found
1202223010321,not_found
1202223010344,not_found
1202223010351,not_found
1202223010362,not_found
1202223010366,not_found
1202223010371,not_found
1202223010374,not_found
1202223010376,not_found
1202223010383,not_found
1202223010387,not_found
1202223010394,not_found
1202223010404,not_found
1202223010420,not_found
1202223010424,not_found
1202223010436,not_found
1202223010439,not_found
1202223010466,not_found
1202223010474,not_found
1202223010496,not_found
1202223010516,not_found
1202223010527,not_found
1202223010595,not_found
1202223010662,not_found
1202223010670,not_found
1202223010694,not_found
1202223010699,not_found
1202223010702,not_found
1202223010705,not_found
1202223010707,not_found
1202223010710,not_found
1202223010714,not_found
1202223010727,not_found
1202223010729,not_found
1202223010733,not_found
1202223010744,not_found
1202223010766,not_found
1202223010773,not_found
1202223010779,not_found
1202223010788,not_found
1202223010799,not_found
1202223010806,not_found
1202223010807,not_found
1202223010825,not_found
1202223010868,not_found
1202223010890,not_found
1202223010900,not_found
1202223020043,not_found
1202223020057,not_found
1202223020104,not_found
1202223020111,not_found
1202223020112,not_found
1202223020123,not_found
1202223020127,not_found
1202223020134,not_found
1202223020144,not_found
1202223030006,not_found
1202223030009,not_found
1202223030017,not_found
1202223030024,not_found
1202223030039,not_found
1202223030040,not_found
1202223030059,not_found
1202223030063,not_found
1202223030073,not_found
1202223030094,not_found
1202223030102,not_found
1202223030107,not_found
1202223030111,not_found
1202223030128,not_found
1202223030130,not_found
1202223030135,not_found
1202223030147,not_found
1202223030150,not_found
