roll,reason
1201718010006,not_found
1201718010011,not_found
1201718010040,not_found
1201718010091,not_found
1201718010182,not_found
1201718010286,not_found
1201718010307,not_found
1201718010494,not_found
1201718010541,not_found
1201718010585,not_found
1201718010632,not_found
1201718010704,not_found
1201718010739,not_found
1201718010791,not_found
1201718010792,not_found
1201718010813,not_found
1201718010815,not_found
1201718010827,not_found
1201718010828,not_found
1201718010849,not_found
1201718010865,not_found
1201718010882,not_found
1201718010883,not_found
1201718010888,not_found
1201718010892,not_found
1201718010894,not_found
1201718020042,not_found
1201718020081,not_found
1201718020142,not_found
1201718030017,not_found
1201718030088,not_found
1201718030100,not_found
1201718030116,not_found
1201718030138,not_found
