roll,reason
1202021010106,not_found
1202021010147,not_found
1202021010223,not_found
1202021010259,not_found
1202021010328,not_found
1202021010355,not_found
1202021010372,not_found
1202021010427,not_found
1202021010477,not_found
1202021010534,not_found
1202021010539,not_found
1202021010543,not_found
1202021010560,not_found
1202021010638,not_found
1202021010661,not_found
1202021010697,not_found
1202021010730,not_found
1202021010789,not_found
1202021010808,not_found
1202021010872,not_found
1202021010900,not_found
1202021020111,not_found
1202021020116,not_found
1202021020145,not_found
1202021020146,not_found
1202021020147,not_found
1202021020148,not_found
1202021020149,not_found
1202021020150,not_found
1202021030121,not_found
1202021030130,not_found
1202021030134,not_found
1202021030140,not_found
1202021030142,not_found
1202021030143,not_found
1202021030144,not_found
1202021030145,not_found
1202021030146,not_found
1202021030147,not_found
1202021030148,not_found
1202021030149,not_found
1202021030150,not_found
