roll,reason
1201819010110,not_found
1201819010184,not_found
1201819010294,not_found
1201819010403,not_found
1201819010444,not_found
1201819010485,not_found
1201819010507,not_found
1201819010536,not_found
1201819010585,not_found
1201819010659,not_found
1201819010741,not_found
1201819010814,not_found
1201819010853,not_found
1201819020015,not_found
1201819020016,not_found
1201819020019,not_found
1201819020029,not_found
1201819020030,not_found
1201819020034,not_found
1201819020040,not_found
1201819020044,not_found
1201819020055,not_found
1201819020067,not_found
1201819020080,not_found
1201819020089,not_found
1201819020090,not_found
1201819020091,not_found
1201819020092,not_found
1201819020093,not_found
1201819020095,not_found
1201819020102,not_found
1201819020103,not_found
1201819020104,not_found
1201819020105,not_found
1201819020106,not_found
1201819020107,not_found
1201819020108,not_found
1201819020109,not_found
1201819020110,not_found
1201819020111,not_found
1201819020112,not_found
1201819020113,not_found
1201819020114,not_found
1201819020115,not_found
1201819020116,not_found
1201819020117,not_found
1201819020118,not_found
1201819020119,not_found
1201819020120,not_found
1201819020121,not_found
1201819020122,not_found
1201819020123,not_found
1201819020124,not_found
1201819020125,not_found
1201819020126,not_found
1201819020127,not_found
1201819020128,not_found
1201819020129,not_found
1201819020130,not_found
1201819020131,not_found
1201819020132,not_found
1201819020133,not_found
1201819020134,not_found
1201819020135,not_found
1201819020136,not_found
1201819020137,not_found
1201819020138,not_found
1201819020139,not_found
1201819020140,not_found
1201819020141,not_found
1201819020142,not_found
1201819020143,not_found
1201819020144,not_found
1201819020145,not_found
1201819020146,not_found
1201819020147,not_found
1201819020148,not_found
1201819020149,not_found
1201819020150,not_found
1201819030033,not_found
1201819030048,not_found
1201819030078,not_found
1201819030106,not_found
1201819030111,not_found
1201819030148,not_found
