roll,reason
1201920010044,not_found
1201920010087,not_found
1201920010129,not_found
1201920010153,not_found
1201920010155,not_found
1201920010157,not_found
1201920010212,not_found
1201920010219,not_found
1201920010236,not_found
1201920010238,not_found
1201920010239,not_found
1201920010247,not_found
1201920010268,not_found
1201920010325,not_found
1201920010368,not_found
1201920010370,not_found
1201920010429,not_found
1201920010444,not_found
1201920010453,not_found
1201920010536,not_found
1201920010565,not_found
1201920010567,not_found
1201920010597,not_found
1201920010625,not_found
1201920010653,not_found
1201920010663,not_found
1201920010672,not_found
1201920010686,not_found
1201920010709,not_found
1201920010753,not_found
1201920010756,not_found
1201920010769,not_found
1201920010785,not_found
1201920010806,not_found
1201920010808,not_found
1201920010828,not_found
1201920010835,not_found
1201920010838,not_found
1201920010867,not_found
1201920010883,not_found
1201920020005,not_found
1201920020007,not_found
1201920020009,not_found
1201920020060,not_found
1201920020066,not_found
1201920020078,not_found
1201920020085,not_found
1201920020094,not_found
1201920020103,not_found
1201920020113,not_found
1201920020120,not_found
1201920020126,not_found
1201920020136,not_found
1201920020146,not_found
1201920020147,not_found
1201920020148,not_found
1201920020149,not_found
1201920020150,not_found
1201920030019,not_found
1201920030020,not_found
1201920030025,not_found
1201920030040,not_found
1201920030052,not_found
1201920030053,not_found
1201920030077,not_found
1201920030079,not_found
1201920030082,not_found
1201920030105,not_found
1201920030107,not_found
1201920030128,not_found
1201920030142,not_found
