roll,reason
1202324010045,not_found
1202324010049,not_found
1202324010056,not_found
1202324010057,not_found
1202324010058,not_found
1202324010163,not_found
1202324010167,not_found
1202324010195,not_found
1202324010209,not_found
1202324010263,not_found
1202324010278,not_found
1202324010312,not_found
1202324010350,not_found
1202324010355,not_found
1202324010362,not_found
1202324010377,not_found
1202324010389,not_found
1202324010394,not_found
1202324010539,not_found
1202324010547,not_found
1202324010566,not_found
1202324010604,not_found
1202324010607,not_found
1202324010613,not_found
1202324010622,not_found
1202324010706,not_found
1202324010708,not_found
1202324010742,not_found
1202324010749,not_found
1202324010760,not_found
1202324010785,not_found
1202324010793,not_found
1202324010797,not_found
1202324010839,not_found
1202324010847,not_found
1202324010848,not_found
1202324010851,not_found
1202324010857,not_found
1202324010863,not_found
1202324010878,not_found
1202324010884,not_found
1202324010890,not_found
1202324010891,not_found
1202324020008,not_found
1202324020047,not_found
1202324020150,not_found
1202324030006,not_found
1202324030011,not_found
1202324030021,not_found
1202324030097,not_found
1202324030110,not_found
1202324030116,not_found
1202324030118,not_found
1202324030134,not_found
1202324030146,not_found
1202324030148,not_found
1202324030149,not_found
1202324030150,not_found
