roll,reason
1202122010073,not_found
1202122010085,not_found
1202122010101,not_found
1202122010106,not_found
1202122010128,not_found
1202122010136,not_found
1202122010140,not_found
1202122010148,not_found
1202122010152,not_found
1202122010173,not_found
1202122010230,not_found
1202122010242,not_found
1202122010268,not_found
1202122010272,not_found
1202122010285,not_found
1202122010296,not_found
1202122010333,not_found
1202122010342,not_found
1202122010350,not_found
1202122010354,not_found
1202122010365,not_found
1202122010378,not_found
1202122010381,not_found
1202122010403,not_found
1202122010431,not_found
1202122010446,not_found
1202122010465,not_found
1202122010487,not_found
1202122010521,not_found
1202122010565,not_found
1202122010584,not_found
1202122010585,not_found
1202122010588,not_found
1202122010620,not_found
1202122010625,not_found
1202122010626,not_found
1202122010661,not_found
1202122010662,not_found
1202122010663,not_found
1202122010664,not_found
1202122010673,not_found
1202122010674,not_found
1202122010694,not_found
1202122010696,not_found
1202122010697,not_found
1202122010700,not_found
1202122010710,not_found
1202122010732,not_found
1202122010765,not_found
1202122010783,not_found
1202122010791,not_found
1202122010802,not_found
1202122010812,not_found
1202122010813,not_found
1202122010820,not_found
1202122010823,not_found
1202122010827,not_found
1202122010853,not_found
1202122010872,not_found
1202122010878,not_found
1202122010882,not_found
1202122010891,not_found
1202122010899,not_found
1202122020015,not_found
1202122020016,not_found
1202122020024,not_found
1202122020047,not_found
1202122020056,not_found
1202122020062,not_found
1202122020066,not_found
1202122020070,not_found
1202122020071,not_found
1202122020072,not_found
1202122020074,not_found
1202122020108,not_found
1202122020112,not_found
1202122020118,not_found
1202122020132,not_found
1202122030007,not_found
1202122030013,not_found
1202122030066,not_found
1202122030077,not_found
1202122030092,not_found
1202122030097,not_found
1202122030102,not_found
1202122030103,not_found
1202122030104,not_found
1202122030109,not_found
1202122030127,not_found
1202122030136,not_found
